,Date Created,ID,Number of Likes,Source of Tweet,Tweets
0,2023-04-14 15:08:15+00:00,1646893134205575169,0,Twitter for iPhone,"@sf_gamerbabe118 Groomer? Like a dog groomer? Perfectly fine if you are, I just didn’t know if that was a term for sumthin else haha."
1,2023-04-14 15:08:04+00:00,1646893088919498754,0,Twitter for iPhone,"@AmericanClTlZEN @EdKrassen @SoFloSportsNews He literally is a groomer, lol get it together 🤦🏻‍♂️🤦🏻‍♂️"
2,2023-04-14 15:08:02+00:00,1646893079968792577,0,Buffer,"“Micro Touch Trim is a haircutting tool, shaper, groomer, and trimmer. This handheld trimmer is the most convenient way to give yourself a haircut.” https://t.co/LqX0iCeKbX https://t.co/ku2s6DZ8Io"
3,2023-04-14 15:07:46+00:00,1646893010825691136,0,Twitter for iPhone,@chris_jolliff Are you going to look for 12 year olds to marry? Since you support everything @realmikemoon does? #groomer
4,2023-04-14 15:07:26+00:00,1646892929796001793,0,Twitter for Android,@OnlyFjords @MitchelVesterga Du er helt med på at Simone de Beauvoir var groomer ikke?
5,2023-04-14 15:07:18+00:00,1646892894316384256,0,Twitter for iPhone,"@cabriadiego Si si, ya te oímos groomer"
6,2023-04-14 15:07:10+00:00,1646892862523490306,0,Twitter for Android,@Strang3rG Ok groomer.
7,2023-04-14 15:06:39+00:00,1646892730423844864,0,Twitter for Android,"@spreenterP @Carvick_ Lo del groomer quedó en q las capturas eran falsas y la piba se lo inventó todo, a ver si nos informamos antes de difamar a alguien"
8,2023-04-14 15:06:34+00:00,1646892710433882112,0,Twitter for Android,@11thJeff @elonmusk @TRHLofficial Groomer!
9,2023-04-14 15:06:14+00:00,1646892626203779074,0,Twitter for Android,"@GeoRebekah Wait you believe children should allowed to choose their ""gender"" an even have life altering surgery .but you have a problem with them being able to get married. Nah groomer you can't have it one way .I think both of you all are sick leave kids alone"
10,2023-04-14 15:06:10+00:00,1646892610500407298,0,Twitter for Android,@conffection u r a very hachi coded person i feel like ue personality w ur friends is very like hachi layla is a groomer but other than that she had issues
